Team,Position,Player,Acquired,Salary,Class,Length
Greg,QB,Dak Prescott,2020,64,A,5
Greg,QB,Carson Wentz,2020,55,A,5
Greg,QB,Cam Newton,2020,8,E,5
Greg,QB,Jarrett Stidham,2020,5,E,5
Greg,QB,Brian Hoyer,2020,1,E,5
Greg,RB,Austin Ekeler,2020,42,C,3
Greg,RB,Tevin Coleman,2020,8,E,3
Greg,RB,James White,2020,7,E,3
Greg,RB,Matt Breida,2020,6,E,3
Greg,RB,Lamical Perine,2020,2,E,5
Greg,RB,Joshua Kelley,2020,2,E,5
Greg,WR,Chris Godwin,2020,50,A,4
Greg,WR,Robert Woods,2020,37,A,1
Greg,WR,Michael Gallup,2020,22,B,4
Greg,WR,Adam Thielen,2020,20,E,3
Greg,WR,AJ Green,2020,17,E,2
Greg,WR,Brandon Aiyuk,2020,8,E,5
Greg,WR,Marvin Jones,2020,7,E,5
Greg,WR,Anthony Miller,2020,5,E,5
Greg,WR,Van Jefferson,2020,4,E,5
Greg,WR,DeSean Jackson,2020,2,E,4
Greg,WR,Donovan Peoples-Jones,2020,2,E,5
Greg,WR,Jeff Thomas,2020,1,E,5
Greg,WR,Joe Reed,2020,1,E,5
Greg,TE,Jonnu Smith,2020,9,A,1
Greg,TE,Ian Thomas,2020,6,A,1
Greg,TE,Drew Sample,2020,1,E,5
Greg,TE,Josh Oliver,2020,1,E,5
Verb,QB,Kyler Murray,2020,65,A,5
Verb,QB,Jared Goff,2020,32,E,3
Verb,QB,Tyrod Taylor,2020,6,E,2
Verb,QB,Jake Fromm,2020,1,E,5
Verb,RB,Dalvin Cook,2020,52,A,3
Verb,RB,Devin Singletary,2020,20,D,2
Verb,RB,Sony Michel,2020,7,A,2
Verb,RB,Darrynton Evans,2020,5,R3,3
Verb,RB,Adrian Peterson,2020,2,A,1
Verb,RB,Damien Harris,2020,2,E,2
Verb,RB,Jaylen Samuels,2020,2,E,2
Verb,WR,Mike Evans,2020,44,A,3
Verb,WR,Odell Beckham,2020,37,E,2
Verb,WR,Calvin Ridley,2020,37,A,5
Verb,WR,TY Hilton,2020,15,A,1
Verb,WR,Julian Edelman,2020,10,A,1
Verb,WR,Tyler Johnson,2020,4,R3,3
Verb,WR,Emmanuel Sanders,2020,4,E,2
Verb,WR,Corey Davis,2020,3,E,4
Verb,WR,Robby Anderson,2020,3,E,3
Verb,WR,Antonio Gandy-Golden,2020,3,R3,3
Verb,WR,Dede Westbrook,2020,1,E,5
Verb,WR,Cole Beasley,2020,1,E,5
Verb,WR,Tre'Quan Smith,2020,1,E,5
Verb,TE,Austin Hooper,2020,10,C,3
Verb,TE,Jack Doyle,2020,4,A,1
Verb,TE,Devin Asiasi,2020,2,R3,3
Verb,TE,Dalton Keene,2020,1,R3,3
Jeremy,QB,Josh Allen,2020,46,A,3
Jeremy,QB,Philip Rivers,2020,12,B,2
Jeremy,QB,Jameis Winston,2020,7,D,3
Jeremy,QB,Jacob Eason,2020,4,R3,3
Jeremy,QB,Ryan FItzpatrick,2020,3,A,1
Jeremy,RB,Saquon Barkley,2020,69,A,4
Jeremy,RB,Raheem Mostert,2020,22,B,2
Jeremy,RB,Mark Ingram,2020,19,C,2
Jeremy,RB,Alexander Mattison,2020,12,B,3
Jeremy,RB,Derrius Guice,2020,9,A,2
Jeremy,RB,Rex Burkhead,2020,1,A,1
Jeremy,RB,Brian Hill,2020,1,E,2
Jeremy,WR,DeAndre Hopkins,2020,56,A,4
Jeremy,WR,Keenan Allen,2020,31,A,3
Jeremy,WR,Jamison Crowder,2020,15,B,2
Jeremy,WR,Sterling Shepard,2020,9,C,2
Jeremy,WR,John Brown,2020,4,A,1
Jeremy,WR,Sammy Watkins,2020,3,D,3
Jeremy,WR,Miles Boykin,2020,3,E,2
Jeremy,WR,Riley Ridley,2020,2,E,3
Jeremy,WR,Danny Amendola,2020,1,A,1
Jeremy,WR,Kenny Stills,2020,1,A,1
Jeremy,WR,Kendrick Bourne,2020,1,A,1
Jeremy,WR,Chris Conley,2020,1,A,1
Jeremy,TE,George Kittle,2020,47,A,3
Jeremy,TE,TJ Hockenson,2020,19,A,4
Jeremy,TE,Greg Olsen,2020,1,A,1
Jeremy,TE,Maxx Williams,2020,1,A,1
Austin,QB,Joe Burrow,2020,50,R1,4
Austin,QB,Matthew Stafford,2020,36,A,3
Austin,QB,Marcus Mariota,2020,3,E,5
Austin,RB,Leonard Fournette,2020,31,A,2
Austin,RB,D'Andre Swift,2020,29,R1,4
Austin,RB,Tony Pollard,2020,6,E,4
Austin,RB,Lynn Bowden,2020,4,R3,3
Austin,RB,Nyheim Hines,2020,1,A,2
Austin,RB,Rodney Anderson,2020,1,A,1
Austin,WR,Allen Robinson,2020,45,A,4
Austin,WR,DK Metcalf,2020,32,A,5
Austin,WR,Tyler Boyd,2020,26,A,4
Austin,WR,Tyler Lockett,2020,24,A,3
Austin,WR,Mike Williams,2020,9,E,4
Austin,WR,Steven Sims,2020,5,D,3
Austin,WR,James Washington,2020,4,E,5
Austin,WR,Isaiah Hodgins,2020,2,R3,3
Austin,WR,Marquez Valdes-Scantling,2020,1,E,4
Austin,WR,Rashard Higgins,2020,1,A,1
Austin,WR,Kelvin Harmon,2020,1,D,3
Austin,WR,Keke Coutee,2020,1,A,1
Austin,WR,Olabisi Johnson,2020,1,E,5
Austin,WR,Jakobi Meyers,2020,1,E,5
Austin,TE,Evan Engram,2020,22,D,3
Austin,TE,Noah Fant,2020,18,A,4
Austin,TE,Hunter Henry,2020,16,A,4
Austin,TE,OJ Howard,2020,5,E,5
Austin,TE,Trey Burton,2020,1,E,5
Zach,QB,Tua Tagovailoa,2020,45,A,2
Zach,QB,Ryan Tannehill,2020,30,A,3
Zach,QB,Jimmy Garoppolo,2020,24,A,3
Zach,QB,Mason Rudolph,2020,1,E,5
Zach,QB,Andrew Luck,2020,1,E,5
Zach,RB,Jonathan Taylor,2020,52,A,2
Zach,RB,JK Dobbins,2020,49,A,2
Zach,RB,Cam Akers,2020,30,R1,4
Zach,RB,Eno Benjamin,2020,2,R1,4
Zach,RB,Dare Ogunbowale,2020,1,E,5
Zach,RB,Mike Boone,2020,1,E,5
Zach,RB,Devine Ozigbo,2020,1,E,5
Zach,RB,Reggie Bonnafon,2020,1,E,5
Zach,RB,Raymond Calais,2020,1,E,5
Zach,WR,DJ Moore,2020,51,A,1
Zach,WR,AJ Brown,2020,47,A,1
Zach,WR,Terry McLaurin,2020,30,A,5
Zach,WR,Christian Kirk,2020,20,A,1
Zach,WR,Breshad Perriman,2020,2,C,5
Zach,WR,Hunter Renfrow,2020,2,C,5
Zach,WR,Jalen Hurd,2020,1,E,5
Zach,WR,John Hightower,2020,1,E,5
Zach,WR,Quez Watkins,2020,1,E,5
Zach,WR,Isaiah Coulter,2020,1,E,5
Zach,TE,Jace Sternberger,2020,2,E,5
Zach,TE,C. J. Uzomah,2020,1,E,5
Zach,TE,Dan Arnold,2020,1,E,5
Zach,TE,Foster Moreau,2020,1,E,5
Matt,QB,Patrick Mahomes,2020,95,A,5
Matt,QB,Deshaun Watson,2020,61,A,3
