mfl_id,fantasypros_id,name,position,age,ecr,team
13130,16393,Christian McCaffrey,RB,23.7,1.1,CAR
13604,17240,Saquon Barkley,RB,23.1,2.1,NYG
12652,15528,Michael Thomas,WR,27,3.1,NOS
11232,11606,DeAndre Hopkins,WR,27.7,5.5,HOU
12625,15498,Ezekiel Elliott,RB,24.6,5.9,DAL
13128,16374,Dalvin Cook,RB,24.6,6.5,MIN
13132,16421,Alvin Kamara,RB,23.7,7.1,NOS
11675,12123,Davante Adams,WR,27.2,8.3,GBP
12801,15802,Tyreek Hill,WR,26,8.9,KCC
13163,16406,Chris Godwin,WR,24,11.1,TBB
13610,17246,Nick Chubb,RB,24.2,11.5,CLE
11671,12119,Mike Evans,WR,26.5,12,TBB
13156,16427,JuJu Smith-Schuster,WR,23.3,12.5,PIT
13131,16420,Joe Mixon,RB,23.6,14.2,CIN
12175,13894,Amari Cooper,WR,25.7,15.1,DAL
11679,12127,Odell Beckham,WR,27.3,17.1,CLE
13635,17265,DJ Moore,WR,22.9,19.2,CAR
12626,15514,Derrick Henry,RB,26.2,19.3,TEN
13129,16378,Leonard Fournette,RB,25.1,20.7,JAC
13319,16673,Aaron Jones,RB,25.3,21.1,GBP
13299,16499,George Kittle,TE,26.4,22.1,SFO
14073,18269,Josh Jacobs,RB,22.1,22.4,LVR
13277,16488,Kenny Golladay,WR,26.3,23.3,DET
10271,9867,Julio Jones,WR,31.1,23.9,ATL
13630,17253,Courtland Sutton,WR,24.4,25.8,DEN
14104,18218,AJ Brown,WR,22.7,26.7,TEN
11244,11594,Travis Kelce,TE,30.4,29,KCC
14079,18283,Miles Sanders,RB,22.8,29.1,PHI
12186,13981,Stefon Diggs,WR,26.3,29.5,MIN
11222,11616,Keenan Allen,WR,27.9,31.4,LAC
13116,16413,Patrick Mahomes,QB,24.5,31.9,KCC
13164,16433,Cooper Kupp,WR,26.7,34.6,LAR
11678,12126,Allen Robinson,WR,26.5,36.5,CHI
12151,13903,Melvin Gordon,RB,26.9,36.6,LAC
12150,13912,Todd Gurley,RB,25.6,36.7,LAR
13593,17233,Lamar Jackson,QB,23.2,36.8,BAL
13404,16483,Austin Ekeler,RB,24.8,38.6,LAC
13629,17258,Calvin Ridley,WR,25.2,38.6,ATL
13612,17247,Kerryon Johnson,RB,22.7,41.2,DET
14102,18219,DK Metcalf,WR,22.2,41.2,SEA
12187,13971,Tyler Lockett,WR,27.4,45.1,SEA
13668,17292,DJ Chark,WR,23.4,45.5,JAC
13234,16444,Marlon Mack,RB,24,46.6,IND
12650,15547,Tyler Boyd,WR,25.3,47.1,CIN
11938,13429,Adam Thielen,WR,29.5,48.2,MIN
13646,17259,Michael Gallup,WR,24,48.8,DAL
13113,16398,Deshaun Watson,QB,24.5,48.9,HOU
13671,17269,Mark Andrews,TE,23.5,50.5,BAL
13189,16411,Evan Engram,TE,25.5,52.1,NYG
11228,11610,Robert Woods,WR,27.9,52.3,LAR
11680,12128,Jarvis Landry,WR,27.3,53.5,CLE
13146,16447,James Conner,RB,24.8,53.6,PIT
14071,18239,David Montgomery,RB,22.7,54.1,CHI
13633,17268,Christian Kirk,WR,23.3,54.1,ARI
11247,11689,Zach Ertz,TE,29.3,54.9,PHI
13364,16754,Chris Carson,RB,25.5,55.7,SEA
12630,15637,Kenyan Drake,RB,26.1,56,ARI
14080,18280,Devin Singletary,RB,22.5,56.9,BUF
11192,11645,LeVeon Bell,RB,28,57.7,NYJ
14109,18466,Terry McLaurin,WR,23.9,57.9,WAS
14136,18244,Deebo Samuel,WR,24.1,60.5,SFO
13614,17498,Phillip Lindsay,RB,25.6,60.5,DEN
12176,13897,DeVante Parker,WR,27.1,66.1,MIA
14105,18226,Marquise Brown,WR,22.8,66.3,BAL
12677,15581,Austin Hooper,TE,25.4,66.7,ATL
13154,16377,Mike Williams,WR,25.4,67.7,LAC
13138,16425,Kareem Hunt,RB,24.6,67.7,CLE
10729,11206,TY Hilton,WR,30.3,67.7,IND
10703,11180,Russell Wilson,QB,31.3,67.9,SEA
12676,15561,Hunter Henry,TE,25.2,71.4,LAC
12620,15600,Dak Prescott,QB,26.6,72,DAL
14056,18600,Kyler Murray,QB,22.6,72.7,ARI
13605,17241,Derrius Guice,RB,22.7,73.3,WAS
12263,14104,Darren Waller,TE,27.5,73.7,LVR
11674,12122,Brandin Cooks,WR,26.4,74.8,LAR
14101,18222,NKeal Harry,WR,22.2,75.5,NEP
12647,15629,Will Fuller,WR,25.9,76.1,HOU
10261,9857,AJ Green,WR,31.6,79.5,CIN
10276,9872,Mark Ingram,RB,30.2,79.6,BAL
13157,16434,Curtis Samuel,WR,23.6,80.7,CAR
14138,18290,TJ Hockenson,TE,22.7,88.1,DET
13607,17309,Sony Michel,RB,25,88.3,NEP
12610,15520,Carson Wentz,QB,27.2,88.7,PHI
11783,12231,John Brown,WR,29.9,90.7,BUF
13608,17308,Rashaad Penny,RB,24.1,91.3,SEA
14137,17527,Noah Fant,TE,22.3,91.7,DEN
9662,9332,Julian Edelman,WR,33.8,92.1,NEP
12658,15569,Sterling Shepard,WR,27.1,92.1,NYG
14113,18587,Mecole Hardman,WR,22,92.3,KCC
11747,12195,James White,RB,28.1,94.3,NEP
13589,17298,Josh Allen,QB,23.8,95.2,BUF
12171,13948,David Johnson,RB,28.2,95.4,ARI
7836,9001,Aaron Rodgers,QB,36.3,96.6,GBP
13590,17237,Baker Mayfield,QB,24.9,97.1,CLE
11660,12108,Devonta Freeman,RB,28,97.7,ATL
12930,15688,Robby Anderson,WR,26.8,97.7,NYJ
13674,17270,Dallas Goedert,TE,26.2,98.9,PHI
13617,17245,Royce Freeman,RB,24,99.9,DEN
10738,11215,Marvin Jones,WR,30,102.3,DET
9099,9444,Matt Ryan,QB,34.8,105.5,ATL
13639,17255,Anthony Miller,WR,25.4,105.6,CHI
11886,12334,Damien Williams,RB,27.9,105.7,KCC
12152,13926,Tevin Coleman,RB,26.9,108.9,SFO
13290,16450,Tarik Cohen,RB,24.6,108.9,CHI
14208,18615,Diontae Johnson,WR,23.7,109.4,PIT
14122,18706,Darius Slayton,WR,23.1,109.5,NYG
13153,16385,Corey Davis,WR,25.1,111.8,TEN
12447,14338,Raheem Mostert,RB,27.9,112.3,SFO
11670,12118,Sammy Watkins,WR,26.7,112.9,KCC
13188,16380,OJ Howard,TE,25.3,114.8,TBB
10722,11199,Alshon Jeffery,WR,30.1,115.2,PHI
13672,17272,Mike Gesicki,TE,24.4,115.2,MIA
14087,18588,Darrell Henderson,RB,22.5,116,LAR
13158,16436,Dede Westbrook,WR,26.3,116.3,JAC
12140,13891,Jameis Winston,QB,26.2,116.4,TBB
14086,18256,Justice Hill,RB,22.3,117.7,BAL
14223,18621,Alexander Mattison,RB,21.7,118.9,MIN
12611,15501,Jared Goff,QB,25.4,119,LAR
12678,15623,Tyler Higbee,TE,27.2,120.3,LAR
13631,17254,James Washington,WR,23.9,120.5,PIT
13192,16399,David Njoku,TE,23.7,120.6,CLE
13606,17243,Ronald Jones,RB,22.6,122.3,TBB
14121,18409,Andy Isabella,WR,23.3,123.8,ARI
14112,18463,Parris Campbell,WR,22.6,124.5,IND
9831,9683,Golden Tate,WR,31.6,125.9,NYG
14085,18705,Tony Pollard,RB,22.9,126.7,DAL
9431,9451,Matthew Stafford,QB,32.1,127.3,DET
13378,17058,Matt Breida,RB,25,127.7,SFO
13592,17236,Sam Darnold,QB,22.8,128.1,NYJ
14126,18612,Preston Williams,WR,22.9,128.7,MIA
14107,18235,JJ Arcega-Whiteside,WR,23.2,130.4,PHI
12391,14324,Tyrell Williams,WR,28.1,132.5,LVR
12184,13976,Jamison Crowder,WR,26.7,133.1,NYJ
11760,12208,Jimmy Garoppolo,QB,28.3,135.1,SFO
13155,16388,John Ross,WR,24.3,135.5,CIN
14141,18610,Irv Smith,TE,21.6,135.8,MIN
14059,18232,Daniel Jones,QB,22.8,136.1,NYG
10273,9869,Cam Newton,QB,30.8,136.7,CAR
10700,11177,Kirk Cousins,QB,31.5,137.6,MIN
11390,11821,Latavius Murray,RB,30.1,140.3,NOS
12157,13939,Duke Johnson,RB,26.5,141.6,HOU
9918,9707,Emmanuel Sanders,WR,33,141.7,SFO
10697,11174,Ryan Tannehill,QB,31.6,143.7,TEN
9474,9265,Jared Cook,TE,32.9,144.9,NOS
13139,16424,Jamaal Williams,RB,24.9,147,GBP
14075,18230,Damien Harris,RB,23.1,148.4,NEP
12634,15585,Jordan Howard,RB,25.3,151.8,PHI
13726,17496,Chase Edmonds,RB,23.9,151.9,ARI
11695,12143,Eric Ebron,TE,26.9,151.9,IND
13678,17387,Ian Thomas,TE,23.7,155.1,CAR
4925,9200,Drew Brees,QB,41.1,158.1,NOS
11657,12105,Carlos Hyde,RB,29.5,158.3,HOU
13622,17297,Nyheim Hines,RB,23.3,158.5,IND
13645,17261,TreQuan Smith,WR,24.2,159.2,NOS
13662,17490,Keke Coutee,WR,23.1,161.8,HOU
13642,17306,Auden Tate,WR,23.1,163.4,CIN
14284,18620,Darwin Thompson,RB,23.1,165,KCC
14123,18345,Hunter Renfrow,WR,24.2,165.3,LVR
13763,18049,Will Dissly,TE,23.7,165.9,SEA
14125,18636,Miles Boykin,WR,23.4,166.3,BAL
