timeframe,page,type,pos
1_offseason,dynasty-overall,dynasty-offense,
1_offseason,dynasty-qb,dynasty-offense,QB
1_offseason,dynasty-rb,dynasty-offense,RB
1_offseason,dynasty-wr,dynasty-offense,WR
1_offseason,dynasty-te,dynasty-offense,TE
1_offseason,dynasty-k,dynasty-offense,PK
1_offseason,dynasty-dst,dynasty-offense,DST
1_offseason,rookies,dynasty-offense,
1_offseason,ppr-cheatsheets,redraft-offense,
1_offseason,qb-cheatsheets,redraft-offense,QB
1_offseason,ppr-rb-cheatsheets,redraft-offense,RB
1_offseason,ppr-wr-cheatsheets,redraft-offense,WR
1_offseason,ppr-te-cheatsheets,redraft-offense,TE
1_offseason,k-cheatsheets,redraft-kdst,PK
1_offseason,dst-cheatsheets,redraft-kdst,DST
1_offseason,idp-cheatsheets,redraft-idp,
1_offseason,dl-cheatsheets,redraft-idp,DL
1_offseason,lb-cheatsheets,redraft-idp,LB
1_offseason,db-cheatsheets,redraft-idp,DB
2_preseason,dynasty-overall,weekly-offense,
2_preseason,dynasty-qb,weekly-offense,QB
2_preseason,dynasty-rb,weekly-offense,RB
2_preseason,dynasty-wr,weekly-offense,WR
2_preseason,dynasty-te,weekly-offense,TE
2_preseason,dynasty-k,weekly-kdst,PK
2_preseason,dynasty-dst,weekly-kdst,DST
2_preseason,rookies,weekly-idp,
2_preseason,ppr-cheatsheets,weekly-idp,
2_preseason,qb-cheatsheets,weekly-idp,QB
2_preseason,ppr-rb-cheatsheets,weekly-idp,RB
2_preseason,ppr-wr-cheatsheets,dynasty-offense,WR
2_preseason,ppr-te-cheatsheets,dynasty-offense,TE
2_preseason,k-cheatsheets,dynasty-offense,PK
2_preseason,dst-cheatsheets,dynasty-offense,DST
2_preseason,idp-cheatsheets,dynasty-offense,
2_preseason,dl-cheatsheets,dynasty-offense,DL
2_preseason,lb-cheatsheets,dynasty-offense,LB
2_preseason,db-cheatsheets,dynasty-offense,DB
2_preseason,ppr-flex,redraft-offense,
2_preseason,qb,redraft-offense,QB
2_preseason,ppr-rb,redraft-offense,RB
2_preseason,ppr-wr,redraft-offense,WR
2_preseason,ppr-te,redraft-offense,TE
2_preseason,k,redraft-kdst,PK
2_preseason,dst,redraft-kdst,DST
2_preseason,idp,redraft-idp,
2_preseason,dl,redraft-idp,DL
2_preseason,lb,redraft-idp,LB
2_preseason,db,redraft-idp,DB
3_inseason,dynasty-overall,dynasty-offense,
3_inseason,dynasty-qb,dynasty-offense,QB
3_inseason,dynasty-rb,dynasty-offense,RB
3_inseason,dynasty-wr,dynasty-offense,WR
3_inseason,dynasty-te,dynasty-offense,TE
3_inseason,dynasty-k,dynasty-offense,PK
3_inseason,dynasty-dst,dynasty-offense,DST
3_inseason,rookies,dynasty-offense,
3_inseason,ros-ppr-overall,redraft-offense,
3_inseason,ros-qb,redraft-offense,QB
3_inseason,ros-ppr-rb,redraft-offense,RB
3_inseason,ros-ppr-wr,redraft-offense,WR
3_inseason,ros-ppr-te,redraft-offense,TE
3_inseason,ros-k,redraft-kdst,PK
3_inseason,ros-dst,redraft-kdst,DST
3_inseason,ros-idp,redraft-idp,
3_inseason,ros-dl,redraft-idp,DL
3_inseason,ros-lb,redraft-idp,LB
3_inseason,ros-db,redraft-idp,DB
3_inseason,ppr-flex,weekly-offense,
3_inseason,qb,weekly-offense,QB
3_inseason,ppr-rb,weekly-offense,RB
3_inseason,ppr-wr,weekly-offense,WR
3_inseason,ppr-te,weekly-offense,TE
3_inseason,k,weekly-kdst,PK
3_inseason,dst,weekly-kdst,DST
3_inseason,idp,weekly-idp,
3_inseason,dl,weekly-idp,DL
3_inseason,lb,weekly-idp,LB
3_inseason,db,weekly-idp,DB
