mfl,fp,pfr,pfr_ugly,otc,ffcalc
ARI,ARI,ARI,CRD,ARI,ARI
ATL,ATL,ATL,ATL,ATL,ATL
BAL,BAL,BAL,RAV,BAL,BAL
BUF,BUF,BUF,BUF,BUF,BUF
CAR,CAR,CAR,CAR,CAR,CAR
CHI,CHI,CHI,CHI,CHI,CHI
CIN,CIN,CIN,CIN,CIN,CIN
CLE,CLE,CLE,CLE,CLE,CLE
DAL,DAL,DAL,DAL,DAL,DAL
DEN,DEN,DEN,DEN,DEN,DEN
DET,DET,DET,DET,DET,DET
GBP,GB,GNB,GNB,GB,GB
HOU,HOU,HOU,HTX,HOU,HOU
IND,IND,IND,CLT,IND,IND
JAC,JAC,JAX,JAX,JAX,JAX
KCC,KC,KAN,KAN,KC,KC
LAC,LAC,LAC,SDG,LAC,LAC
LAR,LAR,LAR,RAM,LAR,LAR
LVR,LV,LVR,RAI,LV,OAK
MIA,MIA,MIA,MIA,MIA,MIA
MIN,MIN,MIN,MIN,MIN,MIN
NEP,NE,NWE,NWE,NE,NE
NOS,NO,NOR,NOR,NO,NO
NYG,NYG,NYG,NYG,NYG,NYG
NYJ,NYJ,NYJ,NYJ,NYJ,NYJ
PHI,PHI,PHI,PHI,PHI,PHI
PIT,PIT,PIT,PIT,PIT,PIT
SEA,SEA,SEA,SEA,SEA,SEA
SFO,SF,SFO,SFO,SF,SF
TBB,TB,TAM,TAM,TB,TB
TEN,TEN,TEN,OTI,TEN,TEN
WAS,WAS,WAS,WAS,WAS,WAS
FA,FA,FA,FA,FA,FA
